Name,Affiliation
Aigerman Noam,University of Montreal
Aksoy Yagiz,Simon Fraser University
Baek Seung-Hwan,POSTECH
Batty Christopher,University of Waterloo
Bessmeltsev Mikhail,Université de Montréal
Bonneel Nicolas,CNRS / UNIV. LYON
Cadik Martin,Brno University of Technology
Cao Juan,Xiamen University
Chen Bin,Max-Planck-Institut für Informatik
Chen Xuejin,University of Science and Technology of China
Chen Zhonggui,Xiamen University
Cho Sunghyun,POSTECH
Cordonnier Guillaume,Inria Université Côte d'Azur
Dachsbacher Carsten,Karlsruhe Institute of Technology
Digne Julie,LIRIS - CNRS
Dischler Jean-Michel,ICUBE - Université de Strasbourg
Dodgson Neil,Victoria University of Wellington
Fang Qing,University of Science and Technology of China
Faraj Noura,Université de Montpellier -- LIRMM
Frisvad Jeppe Revall,Technical University of Denmark
Fu Hongbo,City University of Hong Kong
Gain James,University of Cape Town
Galin Eric,LIRIS - Université Claude Bernard Lyon 1
Gao Xifeng,Tencent America
Giorgi Daniela,National Research Council of Italy – Institute of Information Science and Technologies
Grittmann Pascal,Saarland University
Gryaditskaya Yulia,CVSSP Surrey Institute for People-Centred AI
Günther Tobias,FAU Erlangen-Nuremberg
Guo Xiaohu,University of Texas at Dallas
Han Xiaoguang,CUHK - Shenzhen
Havran Vlastimil,Czech Technical University in Prague
He Ying,Nanyang Technological University
Herholz Sebastian,Intel Corporation
Holden Daniel,Epic Games
Jeschke Stefan,unaffiliated
Jiang Caigui,Xi'an Jiaotong University
Jorge Joaquim,INESC-ID
Kellnhofer Petr,TU Delft
Kim Young Min,Seoul National University
Klein Reinhard,University of Bonn
Kobbelt Leif,RWTH Aachen University
Kuffner dos Anjos Rafael,University College London
Kwon Taesoo,Hanyang University
Lai Yu-Kun,Cardiff University
Larsson Maria,The University of Tokyo
Le Binh,SEED - Electronic Arts
Lee Joo Ho,Sogang University
Lee Yoonsang,Hanyang University
Li Minchen,Carnegie Mellon University
Li Xin,Texas A&M University
Lin Wen-Chieh,National Yang Ming Chiao Tong University
Liu Libin,Peking University
Liu Tiantian,Taichi Graphics
Liu Zheng,China University of Geosciences
Lu Lin,Shandong University
Marco Julio,Universidad Zaragoza
Meng Xiaoxu,Tencent
Meyer Alexandre,Université Lyon
Michels Dominik L.,KAUST
Montazeri Zahra,University of Manchester
Nam Giljoo,Facebook
Narain Rahul,Indian Institute of Technology Delhi
Nguyen-Phuoc Thu,Reality Labs Research Meta
Okabe Makoto,Shizuoka University
Oliveira Manuel M.,Universidade Federal do Rio Grande do Sul
Pan Hao,Microsoft Research Asia
Parakkat Amal Dev,Institut Polytechnique de Paris
Patane Giuseppe,CNR-IMATI
Pellacini Fabio,University of Modena and Reggio Emilia
Philip Julien,Netflix Eyeline Studios
Pietroni Nico,University of Technology Sydney
Piovarči Michal,ETH Zurich
Popa Tiberiu,Concordia University
Ren Bo,Nankai Univeristy
Ren Jing,ETH Zurich
Roessl Christian,University of Magdeburg
Schreck Camille,Inria Nancy
Sharp Nicholas,NVIDIA
Singh Gurprit,Max-Planck Institute for Informatics Saarbrucken
Song Peng,Singapore University of Technology and Design
Su Wanchao,Monash University
Subr Kartic,University of Edinburgh
Sun Qi,New York University
Tan Jianchao,George Mason University
Tang Min,Zhejiang University
Thiery Jean-Marc,Adobe Research
Tursun Cara,University of Groningen
Umetani Nobuyuki,The University of Tokyo
Vaxman Amir,The University of Edinburgh
Vouga Etienne,UT Austin
Wang Beibei,Nanjing University
Wang Miao,Beihang University
Wang Yunhai,Shandong university
Wu Hongzhi,Zhejiang University
Wu Hsiang-Yun,The St. Pölten University of Applied Sciences
Wu Kui,LightSpeed Studios
Xia Shihong,Institute of Computing Technology Chinese Academy of Sciences
Xiao Chunxia,Wuhan University
Xin Shiqing,Shandong University
Xu Feng,Tsinghua University
Xu Kun,Tsinghua University
Xu Pengfei,Shenzhen University
Xu Weiwei,Zhejiang University
Ye Hui,City University of Hong Kong
Yue Yonghao,Aoyama Gakuin University
Zhai Xiaoya,University of Science and Technology of China
Zhang Fang-Lue,Victoria University of Wellington
Zhang Lei,Beijing Institute of Technology
Zhang Meng,Nanjng University of Science and Technology
Zhang Yun,Communication University of Zhejiang
Zhao Haisen,Shandong University
Zhu Bo,Georgia Institute of Technology
Zhu Chenyang,National University of Defense Technology
Zhu Junqiu,UC Santa Barbara
Zhu Zhe,Duke University
