Name,Affiliation,Webpage
Aigerman Noam,University of Montreal,https://noamaig.github.io/
Aksoy Yagiz,Simon Fraser University,https://yaksoy.github.io/
Baek Seung-Hwan,POSTECH,https://sites.google.com/view/shbaek/
Batty Christopher,University of Waterloo,https://cs.uwaterloo.ca/~c2batty/
Bessmeltsev Mikhail,Université de Montréal,http://www-labs.iro.umontreal.ca/~bmpix/
Bonneel Nicolas,CNRS / UNIV. LYON,https://perso.liris.cnrs.fr/nicolas.bonneel/
Cadik Martin,Brno University of Technology,https://cadik.posvete.cz/
Cao Juan,Xiamen University,https://graphics.xmu.edu.cn/~juancao/
Chen Bin,Max-Planck-Institut für Informatik,https://binchen.me/
Chen Xuejin,University of Science and Technology of China,http://staff.ustc.edu.cn/~xjchen99/
Chen Zhonggui,Xiamen University,https://graphics.xmu.edu.cn/~zgchen/
Cho Sunghyun,POSTECH,https://www.scho.pe.kr/
Cordonnier Guillaume,Inria Université Côte d'Azur,https://www-sop.inria.fr/members/Guillaume.Cordonnier/
Dachsbacher Carsten,Karlsruhe Institute of Technology,https://cg.ivd.kit.edu/dachsbacher/staff_index.php
Digne Julie,LIRIS - CNRS,https://perso.liris.cnrs.fr/julie.digne/
Dischler Jean-Michel,ICUBE - Université de Strasbourg,https://dpt-info.u-strasbg.fr/~dischler/
Dodgson Neil,Victoria University of Wellington,http://www.neildodgson.com/
Fang Qing,University of Science and Technology of China,http://home.ustc.edu.cn/~fq1208/
Faraj Noura,Université de Montpellier -- LIRMM,https://www.lirmm.fr/~nfaraj/
Frisvad Jeppe Revall,Technical University of Denmark,http://www.imm.dtu.dk/~jerf/
Fu Hongbo,City University of Hong Kong,https://hongbofu.people.ust.hk/
Gain James,University of Cape Town,https://people.cs.uct.ac.za/~jgain/index.htm
Galin Eric,LIRIS - Université Claude Bernard Lyon 1,https://perso.liris.cnrs.fr/eric.galin/
Gao Xifeng,Tencent America,https://gaoxifeng.github.io/
Giorgi Daniela,National Research Council of Italy – Institute of Information Science and Technologies,https://vcgdata.isti.cnr.it/author/Daniela-Giorgi/
Grittmann Pascal,Saarland University,https://graphics.cg.uni-saarland.de/people/grittmann.html
